Model,Organization,primary_country,primary_domain,year,log_parameters,log_compute,log_cost,org_type,is_open_weights
Minerva (540B),Google,United States of America,Language,2022.0,11.732675155803872,24.4379882502195,,Industry,False
PaLM (540B),Google Research,United States of America,Language,2022.0,11.732675155803872,24.402639612897094,6.485773169300768,Industry,False
GPT-3.5 (davinci-002),OpenAI,United States of America,Language,2022.0,,24.411282913017384,6.689979023387434,Industry,False
U-PaLM (540B),Google,United States of America,Language,2022.0,11.732393759822969,24.40312052117582,,Industry,False
Flan-PaLM 540B,Google,United States of America,Language,2022.0,11.732393759822969,24.40483371662011,,Industry,False
Amazon Titan,Amazon,United States of America,Language,2023.0,11.301029995663981,24.681241237375588,6.899462892244869,Industry,False
Claude 2,Anthropic,United States of America,Language,2023.0,,24.587261849692535,6.690430369513701,Industry,False
Falcon-180B,Technology Innovation Institute,United Arab Emirates,Language,2023.0,11.255272505103306,24.57518784492766,7.031145823286972,Government,True
SenseChat,SenseTime,Hong Kong,Language,2023.0,11.255272505103306,24.589949601325706,6.726609083925677,Industry,False
Gemini 1.0 Ultra,Google DeepMind,United States of America,Multimodal,2023.0,,25.698970004344705,7.487413010797779,Industry,False
GPT-4 Turbo (Nov 2023),OpenAI,United States of America,Multimodal,2023.0,,,,Industry,False
GPT-4 (Jun 2023),OpenAI,United States of America,Multimodal,2023.0,12.255272505103306,25.32221929473392,,Industry,False
GPT-4 (Mar 2023),OpenAI,United States of America,Multimodal,2023.0,12.255272505103306,25.32221929473392,7.572108070820936,Industry,False
Inflection-2,Inflection AI,United States of America,Language,2023.0,,25.00043407747932,7.129081976013819,Industry,False
PaLM 2,Google,United States of America,Language,2023.0,11.531478917042255,24.865696059916072,6.70020745414994,Industry,False
Nemotron-4 340B,NVIDIA,United States of America,Language,2024.0,11.531478917042255,25.255272505103306,7.3277882743314535,Industry,True
Llama 3.1-405B,Meta AI,United States of America,Language,2024.0,11.60745502321467,25.57978359661681,7.723336072328596,Industry,True
Grok-2,xAI,United States of America,Language,2024.0,,25.47129171105894,7.49971883622944,Industry,False
GLM-4-Plus,Z.ai (Zhipu AI),China,Language,2024.0,,,,Industry,False
Claude 3 Opus,Anthropic,United States of America,Multimodal,2024.0,,,,Industry,False
GLM-4 (0116),Z.ai (Zhipu AI),China,Language,2024.0,,,,Industry,False
GPT-4o (Aug 2024),OpenAI,United States of America,Multimodal,2024.0,,,,Industry,False
GPT-4o (Nov 2024),OpenAI,United States of America,Multimodal,2024.0,,,,Industry,False
Gemini 1.5 Pro,Google DeepMind,United States of America,Language,2024.0,,,,Industry,False
GPT-4 Turbo (Apr 2024),OpenAI,United States of America,Multimodal,2024.0,,,,Industry,False
Claude 3.5 Sonnet,Anthropic,United States of America,Multimodal,2024.0,,25.431363764158988,7.412813100474012,Industry,False
GPT-4o,OpenAI,United States of America,Multimodal,2024.0,,,,Industry,False
Llama Nemotron Ultra 253B,NVIDIA,United States of America,Language,2025.0,11.403120521175818,25.592287926996473,,Industry,True
Grok 4,xAI,United States of America,Language,2025.0,12.477121254719663,26.698970004336026,8.588655597000507,Industry,False
GPT-4o (Mar 2025),OpenAI,United States of America,Multimodal,2025.0,,,,Industry,False
GPT-4o (Jan 2025),OpenAI,United States of America,Multimodal,2025.0,,,,Industry,False
GPT-4.5,OpenAI,United States of America,Language,2025.0,,26.57978359661681,8.53142460120649,Industry,False
Llama 4 Behemoth (preview),Meta AI,United States of America,Multimodal,2025.0,12.301029995663981,25.714664992862538,7.6492273782117834,Industry,False
Grok 3,xAI,United States of America,Language,2025.0,12.477121254719663,26.544068044350276,8.338128747626167,Industry,False
